38B,00,00,00,00,9F,2C,00,
38B,00,00,00,00,1F,2D,00,
38B,00,00,00,00,1F,2D,00,
38B,00,00,00,00,9F,2C,00,
38B,00,00,00,00,9F,2D,00,
38B,00,00,00,00,1F,2C,00,
38B,05,EA,05,25,9E,2C,00,
38B,08,12,05,26,9E,2D,00,
38B,08,FE,06,29,1E,2D,00,
38B,09,55,06,2A,1E,2D,00,
38B,09,A9,06,2B,9E,2D,00,
38B,09,C8,06,2C,9E,2D,00,
38B,09,DD,07,2C,1E,2E,00,
38B,09,D9,06,2D,1E,2D,00,
38B,09,BE,06,2D,9E,2D,00,
38B,09,9C,06,2D,9E,29,00,
38B,09,65,06,2C,1E,28,00,
38B,09,30,06,2C,1E,28,00,
38B,08,ED,06,2C,9E,28,00,
38B,08,BC,06,2C,9E,2C,00,
38B,08,9D,06,2C,1E,2D,00,
38B,08,99,06,2C,9E,2E,00,
38B,08,97,06,2C,9E,2E,00,
38B,08,98,06,2C,1E,2D,00,
38B,08,98,06,2C,1E,2E,00,
38B,08,97,06,2C,9E,2B,00,
38B,08,97,06,2C,9E,2D,00,
38B,08,98,06,2C,1E,2D,00,
38B,08,9A,06,2B,1E,30,00,
38B,08,9C,06,2C,9E,30,00,
38B,08,98,06,2C,9E,2F,00,
38B,08,9A,06,2B,1E,27,00,
38B,08,9A,06,2B,1E,22,00,
38B,00,00,00,00,9E,24,00,
38B,06,4A,06,2A,9E,23,00,
38B,08,55,06,2B,1E,23,00,
38B,08,8D,06,2B,9E,24,00,
38B,08,93,06,2B,9E,24,00,
38B,08,96,06,2B,1E,23,00,
38B,08,97,06,2B,1E,23,00,
38B,08,98,06,2C,9E,22,00,
38B,08,98,06,2C,9E,23,00,
38B,08,98,06,2B,1E,22,00,
38B,08,98,06,2B,1E,21,00,
38B,08,97,06,2B,9E,22,00,
38B,08,99,06,2B,9E,21,00,
38B,08,9A,06,2A,1E,22,00,
38B,08,99,06,2B,1E,25,00,
38B,08,99,06,2B,9E,25,00,
38B,08,97,06,2B,9E,2A,00,
38B,08,98,06,2B,1E,2D,00,
38B,08,9A,06,2B,1E,2E,00,
38B,08,96,06,2C,9E,2B,00,
38B,08,97,06,2B,1E,25,00,
38B,08,96,06,2B,1E,23,00,
38B,08,95,06,2C,9E,1E,00,
38B,08,96,06,2C,9E,22,00,
